"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"MOUNT,MOUNT";"MountingHole_3.2mm_M3";2;"MountingHole_3.2mm_M3";;;
2;"J7";"microSD_HC_Wuerth_693072010801";1;"Micro_SD_Card";;;
3;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"Audio";;;
4;"C10";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1uF";;;
5;"U2";"LQFP-64_10x10mm_P0.5mm";1;"STM32F091RCTx";;;
6;"J3";"IDC-Header_2x05_P2.54mm_Vertical";1;"Conn_02x05_Odd_Even";;;
7;"U1";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
8;"R5,R4";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"470";;;
9;"C20,C21";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"0.1uF";;;
10;"C1,C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"22uF";;;
11;"J9";"PinHeader_1x04_P2.54mm_Vertical";1;"Keypad";;;
12;"X1";"ECX-.327-CDX-1293";1;"32.768kHz(12.5pF)";;;
13;"SW1";"SW_SPST_PTS645";1;"SW_Push";;;
14;"X2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8MHz(20pF)";;;
15;"R10,R3";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100K";;;
16;"R2";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"1k";;;
17;"R1";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"5.1k";;;
18;"FB1";"L_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"Ferrite Bead";;;
19;"C12,C13";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"12pF";;;
20;"R11";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"390";;;
21;"C14,C15";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"20pF";;;
22;"C9,C5,C4,C7,C6,C3,C11,C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";8;".1uF";;;
23;"LD1";"LED_0805_2012Metric";1;"LED_Red";;;
24;"LD2";"LED_0805_2012Metric";1;"LED_Green";;;
25;"D2,D3";"D_SOD-323";2;"BAT60JFILM";;;
26;"C16,C17,C18,C19";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";4;"10uF";;;
27;"J1";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
28;"J6";"PinHeader_1x06_P2.54mm_Vertical";1;"UART";;;
29;"J8";"PinHeader_1x06_P2.54mm_Vertical";1;"LCD";;;
30;"J10";"PinHeader_1x04_P2.54mm_Vertical";1;"Touch";;;
31;"R6";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"10K";;;
